Dnr,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2017-00042,17,,,,
2017-00043,4,,,,
2017-00047,2,7,,,
2017-00048,15,,,,
2017-00050,11,,,,
2017-00054,14,2,,,
2017-00058,2,15,,,
2017-00059,10,,,,
2017-00070,11,,,,
2017-00081,12,,,,
2017-00091,13,15,,,
2017-00100,6,,,,
2017-00102,14,,,,
2017-00105,6,,,,
2017-00107,15,,,,
2017-00116,12,,,,
2017-00117,12,,,,
2017-00119,2,,,,
2017-00120,2,,,,
2017-00121,2,,,,
2017-00122,2,,,,
2017-00128,3,,,,
2017-00131,11,,,,
2017-00149,2,,,,
2017-00150,2,6,,,
2017-00151,2,,,,
2017-00152,2,,,,
2017-00153,2,,,,
2017-00155,2,,,,
2017-00163,2,,,,
2017-00204,13,,13,15,
2017-00210,15,,,,
2017-00213,14,,,,
2017-00214,8,,,,
2017-00219,8,,,,
2017-00225,12,8,,,
2017-00235,12,8,,,
2017-00242,2,,,,
2017-00245,8,,,,
2017-00246,11,8,,,
2017-00249,8,12,,,
2017-00256,8,,,,
2017-00263,8,,,,
2017-00266,8,,,,
2017-00268,12,8,,,
2017-00306,9,,9,11,
2017-00308,9,8,9,11,
2017-00315,9,,11,,
2017-00317,9,,9,11,
2017-00323,9,,8,9,11
2017-00335,12,,9,12,13
2017-00341,3,,3,11,
2017-00346,15,,7,14,15
2017-00354,15,,12,13,15
2017-00360,9,,6,9,11
2017-00363,14,15,13,14,
2017-00364,15,13,12,13,7
2017-00366,15,13,12,13,15
2017-00383,11,3,3,8,11
2017-00384,15,3,3,14,15
2017-00396,12,,11,12,14
2017-00402,15,,15,,
2017-00403,6,15,6,11,15
2017-00413,14,,12,14,15
2017-00415,2,,1,2,12
2017-00419,12,,9,11,13
2017-00420,12,,9,13,
2017-00423,15,,2,13,15
2017-00426,2,,2,12,13
2017-00429,11,3,3,11,
2017-00430,15,,6,13,15
2017-00432,14,,12,14,
2017-00433,14,,12,14,
2017-00446,3,,3,,
2017-00453,2,,2,14,15
2017-00462,3,12,3,9,15
2017-00464,15,2,6,12,15
2017-00466,14,15,13,14,15
2017-00468,14,15,13,14,15
2017-00470,2,,7,12,
2017-00472,15,,6,13,15
2017-00474,3,12,3,11,12
2017-00478,11,,3,7,11
2017-00486,2,,2,,
2017-00496,2,,12,,
2017-00508,2,3,3,12,
2017-00511,3,,3,12,
2017-00513,3,9,3,,
2017-00514,2,,2,12,15
2017-00516,13,,7,9,13
2017-00534,2,1,1,2,12
2017-00541,2,,7,12,
2017-00559,0,,3,,
2017-00563,2,13,11,12,13
2017-00564,13,,9,11,13
2017-00567,12,,3,6,15
2017-00568,17,5,5,10,13
2017-00578,15,3,3,15,
2017-00593,2,,12,,
2017-00608,16,13,6,13,16
2017-00611,2,,2,3,12
2017-00613,3,13,3,,
2017-00617,2,,11,12,15
2017-00623,2,,9,12,15
2017-00625,2,,3,12,15
2017-00626,15,,13,15,
2017-00628,15,,7,15,
2017-00637,12,,12,,
2017-00648,12,,12,,
2017-00660,6,12,6,14,15
2017-00665,13,,13,14,
2017-00669,14,13,13,14,
2017-00675,6,14,3,6,12
2017-00677,3,11,7,11,12
2017-00683,12,9,10,12,15
2017-00685,9,,9,12,13
2017-00686,12,,9,11,12
2017-00694,14,,14,15,
2017-00696,15,3,3,11,
2017-00698,2,,12,15,
2017-00699,3,,3,,
2017-00704,15,13,3,13,15
2017-00720,14,,6,14,
2017-00736,15,13,6,13,15
2017-00743,6,,6,14,
2017-00766,13,,6,7,13
2017-00772,14,6,6,14,
2017-00774,7,,7,12,13
2017-00779,2,,3,9,
2017-00792,12,8,9,12,17
2017-00795,7,12,7,9,13
2017-00824,11,,3,11,
2017-00826,15,,12,15,
2017-00827,2,,9,12,15
2017-00828,11,13,11,12,
2017-00841,2,,11,12,13
2017-00842,2,,3,12,14
2017-00850,14,,14,15,
2017-00857,15,7,7,12,13
2017-00862,12,,9,12,
2017-00864,14,,14,15,
2017-00866,14,,14,,
2017-00867,15,3,3,13,15
2017-00871,12,,9,11,12
2017-00875,6,12,6,,
2017-00880,4,,12,13,15
2017-00883,3,,3,9,12
2017-00887,15,,2,13,15
2017-00896,3,12,3,6,
2017-00898,3,,3,7,11
2017-00900,15,2,2,12,15
2017-00901,12,,11,,
2017-00914,11,,9,11,
2017-00917,12,8,7,9,
2017-00932,2,15,7,13,15
2017-00933,4,3,3,11,12
2017-00937,11,,11,15,
2017-00938,2,,2,7,13
2017-00939,4,5,4,10,16
2017-00946,2,,3,12,15
2017-00951,3,,3,10,11
2017-00953,11,,8,10,11
2017-00957,3,,2,3,12
2017-00959,14,,9,11,12
2017-00963,7,,2,7,13
2017-00965,15,13,12,13,15
2017-00973,12,7,7,9,12
2017-00974,15,,15,,
2017-00979,12,,9,,
2017-00983,2,,2,3,12
2017-00999,15,,7,12,13
2017-01000,15,,13,,
2017-01006,15,,13,15,
2017-01012,7,16,1,7,16
2017-01015,4,11,3,4,11
2017-01029,11,,11,12,
2017-01030,12,,3,,
2017-01033,2,1,2,15,
2017-01037,12,,8,12,
2017-01040,12,,3,12,
2017-01064,15,13,13,15,
2017-01066,15,,9,13,
2017-01078,15,,11,15,
2017-01080,17,15,15,,
2017-01085,14,,3,11,14
2017-01088,3,,3,9,
2017-01095,7,,7,9,13
2017-01099,17,,11,13,17
2017-01106,12,,9,11,12
2017-01116,12,,9,12,13
2017-01118,2,,12,,
2017-01128,2,,2,,
2017-01130,12,7,7,9,13
2017-01134,7,,7,9,13
2017-01139,15,,6,13,15
2017-01144,13,,2,13,17
2017-01146,7,2,12,13,15
2017-01156,7,2,3,9,15
2017-01157,12,,9,12,13
2017-01161,13,2,3,13,
2017-01173,12,,9,12,
2017-01182,13,15,13,15,
2017-01187,14,,13,14,
2017-01195,6,,3,6,
2017-01197,2,,12,14,
2017-01210,2,11,2,5,11
2017-01212,17,15,10,11,15
2017-01218,11,,9,11,
2017-01224,0,,4,11,16
2017-01226,3,,1,3,5
2017-01237,0,,9,10,12
2017-01238,14,12,14,,
2017-01252,12,,11,12,
2017-01263,2,,2,12,
2017-01276,12,,3,6,
2017-01281,2,,2,9,12
2017-01284,3,,3,10,
2017-01285,2,,12,15,
2017-01293,11,8,10,11,
2017-01300,3,,3,13,
2017-01307,3,,3,6,15
2017-01311,14,,15,14,
2017-01312,16,13,11,13,17
2017-01326,16,,11,12,13
2017-01342,15,,11,15,17
2017-01345,2,15,12,15,
