Dnr,Agenda_2030
2019-00230,3
2019-00246,3
2019-00255,3
2019-00305,3
2019-00531,3
2019-00574,3
2019-00612,3
2019-00691,3
2019-00716,3
2019-00754,3
2019-00759,3
2019-00797,3
2019-00877,3
2019-00879,3
2019-00900,3
2019-00936,3
2019-00950,3
2019-00998,3
2019-01000,3
2019-01001,3
2019-01014,3
2019-01019,3
2019-01285,3
2019-01339,3
2019-01342,3
2019-01365,3
2019-01366,3
2019-01422,3
2019-01598,3
2019-01737,3
2019-01869,3
2019-01889,3
2019-01993,3
2019-02052,3
2019-02218,3
2019-02225,3
2019-02277,3
2019-02332,3
2019-02418,3
2019-02447,3
2019-02469,3
2019-02574,3
2019-02664,3
2019-02738,3
2019-02861,3
2019-02919,3
2019-03327,3
2019-03523,3
2019-03535,3
2019-03541,3
2019-03609,3
2019-03612,3
2019-03630,3
2019-03696,3
2019-03720,3
2019-03737,3
2019-03765,3
2019-03986,3
2019-04036,3
2019-04086,3
2019-04332,3
2019-04411,3
2019-04563,3
2019-04693,3
2019-04697,3
2019-04773,3
2019-04774,3
2019-04835,3
2019-04842,3
2019-04899,3
2019-05060,3
2019-05131,3
2019-05218,3
2019-05245,3
2019-05259,3
2019-05262,3
2019-05355,3
2019-05537,3
2019-05264,3
2019-05318,3
2019-05422,3
2019-05513,3
2019-05520,3
2019-05566,3
2019-05603,3
2019-05728,3
2019-05740,3
2019-05792,3
2020-00093,3
2020-00116,3
2020-00144,3
2020-00148,3
2020-00150,3
2020-00151,3
2020-00153,3
2020-00156,3
2020-00238,3
2020-00268,3
2020-00280,3
2020-00306,3
2020-00312,3
2020-00339,3
2020-00426,3
2020-00453,3
2020-00469,3
2020-00584,3
2020-00588,3
2020-00590,3
2020-00614,3
2020-00669,3
2020-00767,3
2020-00792,3
2020-00879,3
2020-00926,3
2020-01030,3
2020-01139,3
2020-01165,3
2020-01214,3
2020-01247,3
2020-01272,3
2020-01312,3
2020-01383,3
2020-01430,3
2020-01567,3
2020-01582,3
2020-01620,3
2020-01680,3
2020-01752,3
2020-01867,3
2020-01878,3
2020-01893,3
2020-02161,3
2020-02196,3
2020-02232,3
2020-02330,3
2020-02335,3
2020-02376,3
2020-02389,3
2020-02408,3
2020-02417,3
2020-02461,3
2020-02511,3
2020-02605,3
2020-03055,3
2020-03058,3
2020-03061,3
2020-03195,3
2020-03212,3
2020-03261,3
2020-03289,3
2020-03356,3
2020-03517,3
2020-03602,3
2020-03633,3
2020-03662,3
2020-03732,3
2020-03852,3
2020-03974,3
